customer,name,address,geometry
    122968,TARGET #968,7795 SW 40TH ST,"(25.7359771, -80.3207435)"
    660817,EL BODEGON #5,1910 LAKE WORTH RD,"(26.6171629, -80.1966848)"
     30092,BRAVO SUPERMAKET,1869 ARCHER ST,"(40.8378944, -73.864233)"
   1912905,WAL-MART #2905 V#251893921,250 ROUTE 59,"(41.0951755, -73.9598262)"
    860467,FRUTERIA LA HACIENDA III,2900 W SAMPLE RD STE 140 - 150,"(None, None)"
   1913420,WAL-MART #3420 V#251893921,1220 OLD COUNTRY RD,"(40.74334, -73.6007558)"
     30019,CARIBBEAN SPMKT,416 MORRIS AVE,"(40.669095999999996, -73.635896)"
    346363,PRICE CHOICE #7,2712 NW 95 ST,"(49.6238563, 20.6977488)"
    704027,CAPITOL FARMERS MARKET,2256 EAST SOUTH BOULEVARD,"(32.326873, -86.303484)"
     18289,CARIBE CASH & CARRY,415 DEVOE AVE,"(40.8406192, -73.8775294)"
     12446,VILLAGE PLAZA/COMPARE SAVE,29 VILLAGE AVE,"(40.6956416, -73.7150259)"
    840080,BUSY BEE SM,2382 W OAKRIDGE RD,"(51.4262071, 0.0005574)"
    428075,STOP & SHOP #75,301 CENTRE ST,"(43.2562409, -79.0833247)"
    192236,WINN DIXIE #236,941 SW 24TH ST,"(26.0932047, -80.1545347)"
    172872,PUBLIX #872,4760 W HILLSBORO BLVD,"(26.31618075, -80.187936925)"
    464908,POINCIANA PRODUCE INC,871 TOWNE CENTER DR,"(34.091290166609845, -117.73349790965763)"
    930005,SUPERMERCADO EL GUERO # 10,4023 S ARCHER AVE,"(41.820099049999996, -87.69403233507136)"
    711264,TROPICANA SUPERMARKET - DURHAM,1000 N MIAMI BLVD,"(35.993782249999995, -78.86817517485207)"
   1914848,WAL-MART #4848,8322 PINEVILLE MATTHEWS RD,"(35.090526, -80.859276)"
    768704,SAVELAND SM,8704 NW 32ND AVE,"(25.8533884, -80.2506001)"
     90286,JIMENEZ-ADDISON,240 W. LAKE STREET,"(41.79565232035638, -74.75472658705401)"
    172406,PUBLIX #406,6570 N STATE RD; #7,"(26.801014, -80.197902)"
     21823,CARIB FOOD MARKET INC,1303 FULTON ST,"(39.9550444375, -82.963348)"
    709810,JETRO CASH & CARRY #810,200 CORNEL DR,"(41.2975255, -73.6228852)"
   1721578,PUBLIX #1578,11502 N 53RD ST,"(28.0534051, -82.3970042)"
    172761,PUBLIX #761,1720 E SILVER STAR RD,"(46.7334025, -95.7474204)"
     30066,KEY FOOD #2368 (C),148 E 170TH ST,"(40.83931720408163, -73.91556873469388)"
    172276,PUBLIX #276,2435 S HIAWASSEE RD,"(28.516932359473977, -81.48388022533803)"
     23316,LA ABUNDAVICA BAKERY,7502 ROOSEVELT AVE,"(40.01235338888889, -122.0889495)"
   1921712,HARVEYS #1712,1305 W ARIANA ST,"(28.025894, -81.974938)"
    709812,JETRO CASH & CARRY #812,2002 INDUSTRIAL DR,"(40.6522302, -75.41549201048946)"
     90291,JIMENEZ - WEST CHICAGO,559 W. MAIN STREET,"(43.031403499999996, -74.87444873831777)"
    861079,ALMENDARES COURIER SOLUTIONS,2000 NW 135TH AVE,"(45.533964, -122.815623)"
   1914049,WAL-MART #4049,21000 WESTERN AVE,"(41.50761925, -87.67758360637188)"
     11371,KEY FOOD #1046 (C),18314 HILLSIDE AVE,"(40.861305, -74.979322)"
    214158,TASTE OF THE ISLAND MARKET,2219 34TH ST S,"(27.747556000922163, -82.67940247674954)"
     12429,KEY FOOD #2236 (C),1925 BRENTWOOD RD,"(40.7801831, -73.2441261)"
   1913611,WAL-MART #3611,6520 EARNEST BARRETT PKWY,"(None, None)"
     30064,FINE FARE/GREEN FOREST FOOD CORP,1136 OGDEN AVE,"(41.00681080199244, -78.42817084268586)"
   1721174,PUBLIX #1174,301 WEST ROAD,"(47.1603312, -68.1680944)"
   1721030,PUBLIX #1030,10400 SW VILLAGE CENTER DR,"(None, None)"
   1912459,WAL-MART #2459,4381 CATTLEMEN ROAD,"(27.291947999999998, -82.45012610922626)"
     27405,B&J FRESH MARKET,1082 SPRINGFIELD AVE,"(39.93365926335307, -74.1611560619067)"
    945370,HORACE MEAT AND FISH INC,16722 NE 6TH AVE,"(25.9297463, -80.1888345)"
   1912058,WAL-MART #2058,1725 NEW HOPE CHURCH RD.,"(35.8371437, -78.6080842)"
   1915894,WAL-MART #5894,5511 DEEP LAKE RD,"(28.617165, -81.260129)"
    172091,PUBLIX #91,1045 DADE BLVD,"(25.7944221, -80.1400473)"
    860714,XPRESS MEAT MARKET,3684 WEBBER ST,"(27.30818703860576, -82.49617834418234)"
   1721092,PUBLIX #1092,3400 AVALON PARK E BLVD,"(28.5143226, -81.154465)"
    957928,ABUELA MEAT MARKET,6273 US HIGHWAY 19 N,"(27.9082489, -82.7291596)"
    860426,FESTIVAL SUPERMARKET,402 JOAN AVE N STE 2,"(None, None)"
     18690,THE SMOKE HOUSE,18933 Linden Blvd,"(40.6621202, -73.8825583)"
   1915132,WAL-MART #5132,5216 RED BUG LAKE RD,"(28.6486137, -81.2781806)"
   1721686,PUBLIX #1686,6075 US HWY 17-92,"(29.5602004, -81.6583373)"
   1913893,WAL-MART #3893,4000 ROUTE #173,"(45.9854105, 14.1782288)"
     70990,TROPICAL FOOD MARKET AND DELI,343 WILBRAHAM RD,"(53.44311035, -2.25133965)"
   1913562,WAL-MART #3562 V#251893921,189 US HIGHWAY 46,"(40.890393200000005, -74.0941972110468)"
     14031,AMA SUPERMARKET INC.,712 1ST AVE,"(42.714620249999996, -73.70498345930145)"
   1913912,WAL-MART #3912 V#251893921,461 RT 10 SUITE 29,"(None, None)"
    711451,CALIMEX DISTRIBUTOR,3808 TARTEEL DR,"(24.1273177, 55.686732)"
    710054,EL MANDADO LATIN INT PRODUCT,2950 E MILLBROOK ROAD,"(35.84964891714332, -78.5824330188683)"
   1721614,PUBLIX # 1614,601 NW 2ND AVE,"(25.780117, -80.197358)"
    903043,LATIN AMERICAN GROCERY,403 W BOYNTON BEACH BLVD 4 AVE,"(None, None)"
    709748,ASADOS DE MI TIERRA,18A SULFUR SPRING ROAD,"(44.589674, -72.088986)"
    849309,FAMILY BUDGET SM INC,2319 NE 5TH AVE,"(26.26056, -80.1164163)"
     30131,BROTHERS PRODUCE & FOOD MARKET -IV,1154 E GUN HILL RD,"(40.8728407, -73.85330312679218)"
     26186,STOP & SHOP #503,5716 BROADWAY,"(40.8820358, -73.902095)"
   1303327,CVS Y MAS #3327,3695 FLAGLER STREET,"(28.507941381747823, -81.42432931493069)"
   1916879,WAL-MART #6879,2820 GILLESPIE ST,"(33.149762653061224, -96.10907204081633)"
    172788,PUBLIX #788,402 EAST DANIA BEACH BLVD,"(26.0512588, -80.1364212)"
    172820,PUBLIX #820,9359 SHERIDAN ST,"(38.97409801863485, -76.84890113040798)"
     26084,AMERICAS FOOD BASKET #462,1967 FLATBUSH AVE,"(40.621918300000004, -73.93567900291076)"
   1922444,WINN DIXIE #2444,1023 NORTH TAMIAMI TRAIL,"(26.662379397959185, -81.87680587755102)"
   1222366,TARGET #2366,5000 GRANDVIEW PARKWAY,"(28.2334114, -81.64428181375592)"
     15978,TUCKER CORP.(PICK-UP ONLY),614 PROGRESS ST,"(37.234849350000005, -80.41800023363194)"
   1911531,WAL-MART #1531,365 LAKE MARION ROAD,"(28.08017902305398, -81.5463138477492)"
   1012635,KEY FOOD #2635,205 UNION STREET,"(42.15778745, -71.0338223841249)"
   1913724,WAL-MART # 3724,332 STONE WALL JACKSON BLVD,"(None, None)"
    122746,TARGET #746,15005 SW 88TH ST,"(25.68601305, -80.43743648700229)"
    192721,WINN DIXIE #721,906 S MAIN ST,"(33.73681825, -117.8680044)"
