customer,name,address,geometry
  16061250,ASCEND GROCERY #61250,1415 S 14TH ST,"(28.79634, -81.8890411)"
     29928,D'MEDALLO FAST FOOD,117 ELMORA AVE,"(40.66125899326313, -74.2330959104724)"
    575101,COLOMBIA PALOMA BAKERY,1255 W 46TH STREET STE 20,"(None, None)"
     19430,AMIGOS GROCERY,551 E 172ND ST,"(40.8395294, -73.8993314)"
     90406,"MUNICIPAL, LA",2559 W. DIVISION STREET,"(41.9027801, -87.691589)"
     30097,KEY FOOD #1440 (C),1535 UNIONPORT RD,"(40.83703994402781, -73.85789646938599)"
     15240,ZIBBES CORP,8920 NORTHERN BLVD,"(41.4674041, -75.6698896)"
     98384,81ST & RACINE CITGO INC,8106 S. RACINE,"(41.74663663859708, -87.65374421268669)"
     28755,CVS PHARMACY #2064 V#B282,107 E FIRST AVE,"(34.481577381348856, -85.3456595507073)"
   1917206,WAL-MART #7206,10250 S MAIN ST,"(31.81739079904512, -92.33130784568445)"
     70293,J & S MARKET,859 ALBANY AVE,"(40.6527846, -73.93895117084787)"
     71888,GOMEZ SUPERMARKET LLC,199 PARKER ST,"(42.32055965, -71.19449362533257)"
     29682,ZAKI JUICE,8217 NORTHERN BLVD,"(41.4674041, -75.6698896)"
    860821,GOLDEN KRUST CARIBBEAN RESTAURANT,9534 SW 160TH ST,"(25.6189809, -80.3478781)"
     12544,ASSOCIATED #39024 (C),739 NOSTRAND AVE,"(40.672031, -73.9501377)"
    902626,SHOP & SAVE,4428 INVERRARY BLVD,"(26.17968356729135, -80.23975670091919)"
    998800,MARK'S CARIBBEAN CUISINE,10173 UNIVERSITY BLVD,"(41.3908647, -73.4882162)"
     20038,889 FOOD CORP. / DURAN MARKET,889 SUTTER AVE,"(40.67096025, -73.88572070891378)"
     30243,C-TOWN-FAMA REALTY CORP,2276 CRESTON AVE,"(40.85741352173913, -73.90102765217391)"
     13061,CVS PHARMACY #808 V#B282,101 PLAZA CTR,"(40.79049368292683, -74.05744387804877)"
     25244,MILL BASIN SHUK,6321 AVENUE N,"(40.61966771739131, -73.91667226086957)"
     12977,STOP & SHOP #2505,999 MONTAUK HWY,"(40.8058454, -72.8604855)"
     27177,SEABRAS GROUP (B),429 BREGEN ST,"(47.9899127, 8.36018)"
    686631,A1A DISTRIBUTORS INC,5419 NW 74TH AVE,"(25.822783119402985, -80.3175592238806)"
    960810,THE BOYS FARMERS MARKET,14378 S MILITARY TRL,"(26.6775182, -80.1123601)"
   4103442,JEWEL OSCO # 3442,4042 W FOSTER AVE,"(41.9761734, -87.7300672482017)"
   1818452,SAVE A-LOT #8452,3310 CHICAGO RD,"(41.4785153, -87.6383333)"
     70798,BARGAIN FOOD CENTER,626 SOUTH MAIN ST,"(36.086749850000004, -80.24212307895777)"
     16995,DELI GROCERY,2914 BEVERLEY RD,"(40.64496605, -73.94937841108629)"
     21284,K & S DISCOUNT,4107 AVENUE D,"(40.64185735, -73.93771309521802)"
    921411,LOS ANTOJOS RESTAURANT INC,11099 BISCAYNE BLVD,"(30.436167, -81.671641)"
    633900,EL COLOMBIANO REST  & BAKERY,2221 N COMMERCE PKWY,"(25.983944, -80.2821198)"
     15800,ASHLEY J FOOD CORP,1000 E GUN HILL RD,"(40.8745301, -73.85799)"
    860018,AROMA LATIN CUISINE & MORE,13802 LANDSTAR BLVD UNIT 110,"(28.3975473, -81.3684576)"
     28890,LA FAMILIA MEAT AND PRODUCE,6600 FRANKFORD AVE,"(39.31260465, -76.5424444)"
     28957,KEY FOOD #2404 (C),10309 LIBERTY AVENUE,"(40.5563189, -74.2915189)"
    112634,SHOPRITE #634,1361 NJ-35,"(40.08349, -74.047283)"
     70737,M&M SEAFOOD,1124 MAIN ST,"(41.66309845, -70.2001932419329)"
     29317,CVS PHARMACY #289 V#B282,540 CEDAR LANE,"(36.852998, -76.12282353183281)"
     29788,EMPANADAS SPOT,6109 SPRINGFIELD BLVD,"(39.01594789668134, -84.7541926431164)"
     29328,CVS PHARMACY #10009 V#B282,399 ROUTE 211E,"(45.053253, 6.0898569)"
    710078,LIBERTY GLOBAL INC,2527 REDMOND CIRCLE,"(34.27271607092824, -85.2291631029122)"
  18160135,SAVE-A-LOT #60135,5800 WOODLAND AVE,"(39.932266, -75.224639)"
    626116,PANDEBONO BAKERY,7473 SW 8TH STREET,"(25.7629659, -80.3171704)"
     18366,HERMANOS GROCERY,87 TIMBERLINE DR,"(39.8463221, -74.950122)"
     90171,DEVON MARKET,1440 W. DEVON AVENUE,"(41.9984013, -87.66711963842049)"
     11406,KEY FOOD #1442 (C),1511 METROPOLITAN AVE,"(39.072577940895364, -94.62330186018865)"
     28335,TNT LIQUIDATORS,7360 GRARD AVE,"(None, None)"
     11752,BRAVO FRESH SUPER,3907 65TH PL,"(41.77405310189842, -87.72054237660282)"
   1301264,CVS #1264 VENDOR ID B282,704 CENTRE ST,"(42.3115381, -71.1142167)"
     70764,GOOD FORTUNE SUPERMARKET,101 CADILLAC DR.,"(41.7921719, -71.41585039546379)"
     29208,CVS PHARMACY #2442 V#B282,271 BEACH 20TH ST,"(40.5999225, -73.7539664)"
     13115,TRADE FAIR,2355 BROADWAY,"(37.8133334, -122.265825)"
     71628,LUSITANO FOOD & HOME,44 COFFIN AVE,"(41.66258102177035, -70.92235641203335)"
    711420,AMERICA'S FOOD BASKET,2112 CANDLER ROAD,"(33.72920033333334, -84.28099833333333)"
     18017,PUNTO DE SABOR RESTAURANT,1466 SAINT NICHOLAS AVE,"(40.85069005, -73.93234044510108)"
     22468,INTERNATIONAL TROPICAL DELI,152 HEYWARD ST,"(40.70249805, -73.9544915446652)"
     15242,ROOSEVELT DELI,9702 ROOSEVELT AVE,"(40.78885955975364, -91.14261908658061)"
     26157,ANDO JERSEY CITY INDIAN MKT,760 WESTSIDE AVE,"(37.26719986491888, -87.5059844215635)"
    711167,PLAZA SUPERMARKET,600 HERRRING AVE,"(None, None)"
     71441,EDWIN MARKET,1093 BROAD ST,"(39.96534775510204, -82.97281648979592)"
    448879,GOLDEN KRUST BAKERY,1009 W VINE ST,"(40.297782020408164, -85.2488132244898)"
