customer,name,address,geometry
     29903,ISLAND FLAVORS CUISINE,504 CLARKSON AVE,"(39.534124489795914, -107.77817112244898)"
     25313,DIAMOND SUPERMARKET,180 12TH AVE,"(49.063164433333334, -81.0161992)"
     29969,CAFETERIA SERIE 54,2867 WEBSTER AVE,"(40.867228299999994, -73.88412258562123)"
     16414,BRONX NEW YORK GROCERY,2420 WILLIAMSBRIDGE RD,"(40.8617518, -73.8574823)"
     20086,ABREY SUPER GROCERY,2952 FULTON ST,"(40.679400799999996, -73.88579544680513)"
     21271,ZAIDA GROCERY STORE,635 WATKINS ST,"(39.92735835, -75.15680093487488)"
     22744,CAS W.I AMERICAN REST.,135 KINGSTON AVE /ST MARK,"(None, None)"
     20024,FRANSSIELY GROCERY,536 LIBERTY AVE,"(40.67522235, -73.88989163234976)"
     25042,MARTINEZ DELI,2432 E TREMONT AVE,"(40.8424548, -73.8521061)"
     31042,ASSOCIATED SUPERMARKET,2444 ADAM CLAYTON POWELL JR BLVD # 142,"(40.8279234, -73.9348636)"
     11062,ASSOCIATED,1034 41ST AVE,"(33.20251171400561, -87.59230432820159)"
     24499,ESPINAL DELI GROCERY,240 MAIN ST,"(42.7308912, -87.78395624712907)"
     17150,SUPERIOR MARKET,4902 CHURCH AVE,"(40.65140135, -73.93121364331222)"
     22378,8 STARS FOOD CORP,8 SARATOGA AVE,"(43.058142000000004, -74.19402027697842)"
     25525,MAPLE ONE SUPERMARKET,186 CHANCELOR AVE,"(61.5487139, -149.6197272)"
   1096712,DOLLAR GENERAL #6712,2121 W OAKLAND PARK BLVD #10 C,"(26.1664274, -80.1472506)"
     26229,MALIK N SONS 99,9724 CHURCH AVE,"(40.65633116326531, -73.9143102244898)"
     26368,BOUGATFA TWO,139 N MAIN ST,"(39.9886538, -104.821108)"
    112452,SHOPRITE #452,5005 EDGEMONT AVE,"(33.479772999999994, -112.16532874999999)"
     90079,BIG DADDY (W),3845 W. ROOSEVELT RD,"(41.8658693, -87.7218227)"
    595884,ZITRO OF OCALA,9431 SE MARICAMP RD,"(29.079406171682233, -81.98413671083605)"
     16895,SMOKE SHOP CORP,1624 NEWKIRK AVE,"(40.6361539, -73.9617435)"
     12803,JACOB GROCERY CORP,354 NEPPERHAN AVE,"(40.93746731632653, -73.88661253061224)"
   1922271,WINN DIXIE #2271,1021 LOCKWOOD BLVD,"(28.6564516, -81.1779377)"
   1303492,CVS # 3492,4315 CURRY FORD RD.,"(28.524681, -81.33162561889775)"
     14632,A&D MEXICAN DELI,6306 BROADWAY,"(40.90129544897959, -73.89693195918368)"
     28585,KING BARKA RESTAURANT,2515 7TH AVE,"(42.736335249999996, -73.7060934)"
   1912157,WALMART #2157 VEND#251893921,506 STATE RD,"(42.69813055, -73.15149488878393)"
     70298,LOS PRIMOS MINI MARKET,656 MAIN ST,"(41.69585215, -70.15544907146872)"
     71198,R & J GROCERY & DELI,277 CLINTON AVE,"(41.0038164, -73.8735645)"
     70729,APOLLOS MARKET,918 MORTON ST,"(42.2807077, -71.0830507)"
     27058,ABLAM GROCERY STORE,3959 BRONXWOOD AVE,"(40.8856563, -73.8551091)"
   4101282,JEWEL OSCO # 1282,4729 N CENTRAL AVE,"(41.9669478, -87.76671934508309)"
    860766,EL RIO SUPERMARKET,3412 W BAKER ST,"(46.2842389394552, -84.5223373804426)"
     91431,AHA 8101,8101 S ASHLAND AVE,"(41.746530050000004, -87.6628784)"
   1721337,PUBLIX #1337,8833 N TAMIAMI TRAIL,"(26.248915, -81.803005)"
     12108,GOLDEN KRUST BAKERY,823 FRANKLIN AVE,"(40.670187, -73.9579831)"
     22434,EAST ELEVEN DELI CORP,528 E 11TH ST FRNT 1,"(None, None)"
     19186,ARDEN GROCERY,120 NAGLE AVE,"(40.8610089, -73.926797)"
     22330,SUPERMARKET,578 ROCKAWAY AVE,"(40.6658582, -73.9099088)"
     17697,CHANET GROCERY CORP.,231 W 230TH ST,"(40.87790075, -73.90706807215996)"
     24720,EATING TREE RESTAURANT,892 GERARD AVE,"(40.8281557, -73.9244139)"
     17444,MARIA'S DELI GROCERY,7417 WOODSIDE AVE,"(43.280288, -73.641122)"
     15260,QUISQUENA GROCERY,4101 99TH ST,"(34.678673, 33.0055573)"
     25223,J ROZ MINI MARKET,494 ORANGE ST,"(34.015154550000005, -117.3507215862999)"
     25581,GROCERY GROCERY,144-18 ROCKAWAY BLVD,"(40.67348815, -73.79399626342841)"
     26828,ROKIS DELI,167 E 3RD ST,"(40.9085547, -73.8284907)"
     90081,BIG SAM'S FOOD MART - 75TH (S),133 E. 75TH STREET,"(29.479445980102362, -90.31753460932232)"
     20792,J MARKET,1260 MORRISON AVE,"(40.8312042, -73.8748825)"
     24754,520 EAST GROCERY CORP,520 BROOK AVE /148T ST,"(None, None)"
     27573,CONCOURSE BAKERY,1189 MORRIS AVE,"(40.8331153, -73.914365)"
    137566,FOOD 4 LESS # 566,1000 E SIBLEY BLVD,"(41.62390735, -87.59320567640208)"
     23462,RODRIGUEZ G,10205 32ND AVE,"(42.524564294268835, -87.84545782435647)"
     90324,LAKE AUSTIN FOODS (W),422 N. AUSTIN AVENUE,"(30.854345693747174, -96.97989758200744)"
    192729,WINN DIXIE #729,625 NORTH COLLIER BLVD,"(25.951864049999998, -81.72930028233775)"
     28290,CVS PHARMACY #10237 V#B282,457 RT- 46,"(-2.9433923, 104.7835375)"
    333353,DONNA'S CARIBBEAN RESTAURAN INC,3294 N STATE RD 7,"(26.801014, -80.197902)"
     90896,CHICAGO PHILLY STOP,1600 W LAKE ST,"(41.8855801, -87.6672306491754)"
     91050,TY FOOD MART,156 W 95TH,"(40.79280885, -73.97005755323407)"
     91098,MARKET CITGO,2807 W 71ST,"(41.76433205, -87.69340567837682)"
     28936,CVS PHARMACY #2093 V#B282,1835 RIVER RD,"(45.52275992219429, -62.65955604804364)"
     70630,POPULAR MEAT MARKET LLC.,58 STERLING AVE,"(40.5693494, -74.11464349845369)"
    130789,CVS #789 VENDOR ID B282,136 ASHLEY BLVD,"(41.65799495, -70.9288617395283)"
     71650,ISLAND VIBES GRILL & RESTAURANT,675 BLUE HILLS AVE,"(41.8057816, -72.6958325)"
     29175,ACME #3719,2301 BRISTOL RD,"(40.1315477, -74.9227089)"
   1303764,CVS #3764,20345 OLD CULTER RD,"(None, None)"
     25263,501 SANFORD DELI CORP,501 S 2ND AVE,"(32.7818941, -96.7725149)"
   1922367,WINN DIXIE #2367,7960 US HWY #1,"(29.37571025109781, -81.18041400230582)"
     71896,CORNER MARKET,156 CENTER ST,"(41.6742705, -70.14567250294118)"
     71410,SOBLESS STORE,782 NORTH MAIN STREET,"(41.5636457, -73.0316053)"
     23676,115 MEAT MARKET,115 ROSEVILLE AVE,"(41.86126025599673, -76.95940939205879)"
    861136,MDL TRAVEL ENTERPRISES,3060 W 12TH AVE,"(25.8493611, -80.3067212)"
     15665,FLAT 99C,8119 FLATLANDS AVE,"(40.63620328571429, -73.91236804081632)"
     16412,MOSES,682 ALLERTON AVE,"(40.8652619, -73.8680335)"
     19406,LOS TOLDOS REST,8401 NORTHERN BLVD,"(41.4674041, -75.6698896)"
     21741,PARKVILLE FOOD CENTER,109 LAWRENCE AVE,"(42.7596475, -81.1635135)"
     23430,RANCHO LATINO R,3708 103RD ST,"(33.50100734693878, -101.89433226530612)"
     22885,DELI GROCERY,10419 177TH ST,"(25.60499806122449, -80.36135006122448)"
     21344,J & R FOOD CENTER,1341 BUSHWICK AVE,"(40.6858774, -73.9113806)"
     31079,FINE FARE SUPERMARKET,708 E TREMONT AVE FRNT 1,"(None, None)"
     16897,TONY'S MARKET,1054 NOSTRAND AVE,"(40.6625077, -73.9509886)"
     21499,LA ORQUIDEA CARNICERIA,268 KNICKERBOCKER AVE,"(40.702127700000005, -73.92464073643515)"
    373883,SAME LUCHETTI BAKERY CORP,7971 BIRD RD STE 16,"(None, None)"
     25970,FLATBUSH FOOD CORP,1048 FLATBUSH AVE,"(40.6454454, -73.95831137068049)"
    711039,CARMEN'S KITCHEN,4771 BRITT RD,"(38.978773410832375, -96.89109965782798)"
