customer,name,address,geometry
    714200,SUPER SAVER SM,2001 E FLETCHER AVE,"(28.0684317, -82.4363619)"
    112511,SHOPRITE #511,800 ROOSEVELT AVE,"(35.8556914, -76.7439409)"
     31114,FINE FARE SUPERMARKET,3550 WHITE PLAINS RD FRNT B,"(None, None)"
     14176,123 FRESH MARKET,12302 LIBERTY AVE,"(42.666558, -73.639252)"
   1721390,PUBLIX #1390,3201 MACON RD STE 201,"(None, None)"
   1721221,PUBLIX #1221,8780 BOYNTON BEACH BLVD,"(26.527706142857145, -80.18961795148248)"
     31121,FINE & FARE SUPERMARKET,2556 BOSTON RD,"(41.308887, -72.72729)"
     11771,KEY FOOD #2581 (C),154 STATE ST,"(42.359429750000004, -71.05396625942015)"
     13023,FOODTOWN #582 PSK (C),283 E 204TH ST,"(40.8734854, -73.8787629)"
    710092,WOW SUPERMARKET - THE PLAZA,6129 THE PLAZA,"(35.2492201, -80.7520644)"
   1721506,PUBLIX #1506,3838 BRITTON PLAZA,"(27.9070462, -82.5029614)"
   1721295,PUBLIX #1295,2871 CLAYTON CROSSING WAY STE 1001,"(None, None)"
    428722,STOP & SHOP #722,850 MANTON AVE,"(41.8336108, -71.4672708)"
    891845,MAXX FOODS,4610 PALM BEACH BLVD,"(26.673683025, -81.81753125)"
    992200,DIXMOOR MARKET,14635 S. WESTERN AVE,"(35.728085230919994, -97.53196573455618)"
     14727,LA PLACITA ECUATORIANA INC,295 HARMAN STREET,"(40.7000288, -73.91901305964547)"
    172062,PUBLIX #62,1160 E STATE ROAD 434,"(28.6978451, -81.3422408)"
   1721439,PUBLIX #1439,7524 DR PHILLIPS BLVD,"(28.4536045, -81.49018305968785)"
    990008,EL CARIBE MINI MARKET,111 NORTH DEL PRADO BLVD,"(26.65418933107317, -81.9409084080105)"
   1912845,WAL-MART #2845,14215 US HIGHWAY 64 WEST,"(35.4827552, -94.2274098)"
    789718,UNIDOS SM,1870 PROVIDENCE BLVD,"(28.9161946, -81.2216278)"
     27638,J L POULTRY,2180 E OAK RD,"(39.49888205650746, -74.98408904519955)"
   1721304,PUBLIX #1304,870 VILLAGE OAK LN,"(28.7877928, -81.3572435)"
    707501,SUPER CARNICERIA JALISCO,6200 SOUTH NORCROSS TUCKER ROAD,"(33.892502, -84.209759)"
     90998,"JAVIN, INC",2700 W 50TH STREET,"(44.912487, -93.313946)"
   1721421,PUBLIX #1421,2000 CHENEY HWY,"(28.5592361, -80.8258066)"
     90572,VALLI PRODUCE-HOFFMAN ESTATES,850 N. ROSELLE RD.,"(42.043984, -88.079846)"
     28918,SHOP FAIR SUPERMARKET,1331 SAINT NICHOLAS AVE,"(40.846607, -73.9359353)"
    707399,GOLDEN KRUST OLD NATIONAL HIGHWAY,6025 OLD NATIONAL HIGHWAY,"(33.5910187, -84.4690943364365)"
    31215B,PIONEER,8412 97TH AVE,"(41.00814590740741, -92.34335553703704)"
    428416,STOP & SHOP #416,160 PROVIDENCE HWY,"(42.2587224, -71.1681353)"
   1917329,WAL-MART #7329,120 S ODOM STREET,"(32.7766362, -91.9048254)"
    112522,SHOPRITE #522,877 SAINT GEORGE AVE,"(26.1712478754019, -98.22010526838805)"
    428618,STOP & SHOP #618,410 REIDVILLE DR,"(41.53738795, -72.99799242731956)"
     25272,MD 210 FOOD CORP MD 210 FOOD CORP,210 E 170TH STREET,"(40.8382801, -73.9130959)"
