customer,name,address,geometry
     19087,FRIENDLY PAL SUPERMARKET,1031 NOSTRAND AVE,"(40.6632643, -73.9507471)"
     21671,PAPERIFIC,1482 CONEY ISLAND AVE,"(40.620729555555556, -73.9645182962963)"
   1922461,WINN DIXIE #2461,2770 FOWLER AVENUE,"(33.7350781093901, -117.79073557998564)"
    972512,LOS TOCAS CORP,10662 FONTAINEBLEAU BLVD,"(25.775651544479576, -80.36887791695287)"
     21731,HATZLACHA SUPERMARKET,744 BEDFORD AVE,"(40.698540615384616, -73.957042)"
     16255,FIMEX DISTRIBUTORS,VAN DIEPENBEECK STR 71,"(51.20485865, 4.424050311792605)"
     29749,OCHI JAMAICAN AND SEAFOOD GRILL,2488 LINDEN BLVD,"(40.666432183673464, -73.87303882653062)"
    172710,PUBLIX #710,27615 US HIGHWAY 27 #U,"(29.8068514, -82.6075923)"
     29975,CVS PHARMACY #10611 V#B282,1000 W ST GEORGES AVE,"(40.628265, -74.271904)"
    298700,BARAHONA'S FOOD DISTRIBUTOR,2003 NW 79 AVE,"(53.5151657, -113.4398696)"
     21936,FOOD HUT,3497 BOSTON RD,"(37.9864398, -84.54670914421231)"
     30008,KEY FOOD #2432 (C),1911 BERGENLINE AVE,"(40.764348204081635, -74.03467838775511)"
    711295,CAROLINA INTERNATIONAL MART,3605 BASTION LN STE 109,"(None, None)"
    428009,STOP & SHOP #9,28 LINCOLN ST,"(34.05486665, -117.15234332567874)"
     70771,UNION SUPERMARKET AND RESTAURANT,241 SOUTH UNION ST,"(42.6959967, -71.15372765000001)"
    150040,GFS FLORIDA FOOD SERVICE LLC,2299 SW 8TH ST,"(25.7656511, -80.232546)"
    112585,SHOPRITE #585,14-22 W PROSPECT ST,"(40.456752, -74.3961004)"
   1721300,PUBLIX #1300,1921 N BELCHER RD,"(27.990553849999998, -82.74283994774328)"
     25491,THOMAS VENTURES INC,9203 CORONA AVE,"(33.9109721, -117.5528853)"
     28059,REGO FRESH MARKET PLACE,6376 WOODHAVEN BLVD,"(44.0359168, -89.2153785)"
     22472,FRIENDLY DELI & GRILL INC,1127 CLARKSON AVE,"(34.27081796918128, -81.60978711567445)"
     91261,MULATA KITCHEN + COFFEE,136 N OAK PARK AVE,"(41.67789814368567, -93.23832762099266)"
    985916,EL FARO SM,7214 N ROME AVE,"(28.01492025, -82.476157875)"
    112500,SHOPRITE #500 /FOODORAMA,3373 US HIGHWAY 1,"(27.401420610918166, -80.32590052618221)"
     11995,FINE FARE SUPERMARKET,621 HAMILTON ST,"(40.493156, -74.4697222)"
     14528,NEW YORK FOOD MARKET,9530 ROOSEVELT AVE,"(40.789194005601516, -91.14249313801909)"
     26191,STOP & SHOP #528,1429 ROUTE 300,"(45.29446330290468, -75.26375639594335)"
     70205,KINGSTON KAFE,730 BARNUM AVE CUTOFF,"(41.198918157180294, -73.12762409817829)"
     70850,LAWRENCE FOOD MARKET,271 LAWRENCE ST,"(42.6640229, -73.79184240000001)"
     25215,GOLDEN FARM MARKET,6902 US 9 HIGHWAY,"(51.5207221, -0.7540287)"
     26543,PECOSHITOS CAFFE,8003 ROOSEVELT AVE,"(33.750108, -117.98933615384615)"
    860060,DONNA'S RESTURANT,5967 WEST OKALAND PK BLVD,"(None, None)"
   1721668,PUBLIX #1668,675 LONGWOOD HILLS ROAD UNIT 1001,"(None, None)"
     70076,C TOWN,5 WASHINGTON ST,"(42.06611205, -70.92921381721123)"
     29815,KINGSTON MEAT MARKET,595 BROADWAY,"(40.7251108, -73.9972327)"
    700001,SALESMAN SAMPLES ( ATLANTA ),5405 BUFORD HIGHWAY,"(33.89944977360314, -84.27818849563866)"
     20138,WESLEY KOSHER,455 RT 306,"(36.139023, -107.766708)"
     15185,ACCO MART,809 GARRETT RD,"(37.92489817432141, -86.06596390706453)"
     25613,KEY FOOD #1766 (C),256 E 167TH ST,"(40.8333563, -73.9146832)"
    311956,"MILLENNIUM GROCERY, INC.",9 PALM HARBOR  VILLAGE WAY STR,"(None, None)"
     18152,T & A GROCERY CORP,8901 ROOSEVELT AVE,"(40.747671, -73.8835664)"
     11134,ASSOCIATED #86793 (I),496 HEMPSTEAD TPKE,"(40.7083983, -73.70930463618426)"
    948334,BELLIN FOODS C/O HORIZON LOGISTICS,8530 NW 70TH ST,"(25.83654615, -80.33611072494801)"
  16061226,ASCEND GROCERY #61226,6135 SILVER STAR RD,"(28.57791518523048, -81.46595816523987)"
    861162,BRAVO SM FORT MYERS,4150 HANCOCK BRIDGE PKWY,"(26.652512, -81.935897)"
    444035,FOOD DEPOT STORE #35,3205 S COBB DR STE B,"(None, None)"
     20922,SUGAR DADDY,1853 WESTCHESTER AVE,"(40.83254125, -73.86434414285715)"
