customer,name,address,geometry
   5000020,AMAZON CORPORATE,PO BOX 80301,"(35.5091666, -97.9416595)"
     14210,E.M.D SALES/PICK UP ONLY,2010 WASHINGTON BLVD,"(27.35537289795918, -82.53034771428572)"
    252001,KEHE,4055 DEER PARK BLVD,"(53.5608031, -113.9255553)"
    252010,KEHE,1851 RIVERSIDE PKWY,"(39.0890114, -108.6096796)"
     21208,NEW YORK PRODUCE,225 RT 303 SOUTH,"(2.3780776, 11.2671373)"
    931910,"PEPSI COLA PR DISTRIBUTING, LLC PEPSI COLA",865 KM 0.4 CANDELARIA PO BOX,"(None, None)"
     14210,E.M.D SALES,2010 WASHINGTON BLVD,"(27.35537289795918, -82.53034771428572)"
    333000,KROGER WAREHOUSE PROGRAM,160 GOLDSTAR DRIVE (PEYTON SOUTH),"(None, None)"
    620801,"SEABRA FOODS XIV, INC",4169 TOWN CENTER BLVD,"(28.362302186711247, -81.42892466024675)"
   1912814,WAL-MART #2814,9300 NW 77TH AVE,"(25.8585916, -80.32545172085196)"
     25550,NEW YORK PRODUCE WR,225 RT 303 SOUTH,"(2.3780776, 11.2671373)"
    620800,SEABRA FOODS VII INC,5571 INTERNATIONAL DRIVE,"(42.22637889513339, -89.0078108638913)"
     14657,MI TIERRA FOOD LLC,14 LIBELLA COURT,"(40.73474600429608, -74.13942528046435)"
    709014,JETRO #14,2041 NW 12TH AVE,"(25.7953389, -80.2147328)"
   1915250,WAL-MART #5250,904 CYPRESS PKWY,"(28.1425609, -81.4480231)"
   1913625,WAL-MART #3625,30001 N STATE RD 7,"(26.801014, -80.197902)"
   1913235,WAL-MART #3235,1425 NE 163RD ST,"(25.928503, -80.17126522873986)"
   1915293,WAL-MART#5293 V#251893921,77 GREEN ACRES RD,"(40.6607236, -73.72657548519364)"
   1912091,WAL-MART #2091,8651 NW 13TH TERR,"(25.7866401, -80.3354356)"
   1915854,WAL-MART #5854,8400 SW 24TH ST,"(25.7460113, -80.3327903)"
   1911349,WAL-MART #1349,3306 N UNIVERSITY DR,"(26.167684, -80.2584561)"
    135002,PRESIDENTE #2,1550 W 84TH ST,"(25.897615000000002, -80.31453329812052)"
   1911851,WAL-MART #1851,7900 W. MCNAB,"(26.205126649999997, -80.22972839783236)"
     15433,CARIBBEAN PRODUCE,1360 LAFAYETTE AVE,"(39.495438, -87.3962292)"
   1912946,WAL-MART #2946,2500 W. BROWARD BOULEVARD,"(26.1193129, -80.1749493)"
   1914303,WAL-MART #4303,3200 NW 79 STREET,"(39.2385986, -94.6520095)"
   1912627,WAL-MART #2627,2701 E FLETCHER AVE,"(28.0682195, -82.4282157)"
   1917038,WAL-MART DC 7038,4009 SOUTH JENKINS RD,"(38.3148892, -86.3456412)"
    860865,BAVE USA,1390 HAMMONDVILLE RD,"(40.1217925, -79.5338129)"
   1916397,WAL-MART #6397,15601 SW 127 AVE,"(29.536282, -82.631015)"
   1911590,WAL-MART #1590,5851 NW 177TH ST,"(25.935789, -80.29576)"
   1912387,WAL-MART #2387,11110 CAUSEWAY BLVD,"(27.92550215, -82.32541011294771)"
   1913163,WAL-MART #3163,101 SOUTH STATE RD 7,"(26.00875635, -80.20650085098657)"
     27460,AAA WHOLESALE AAA WHOLESALE,323 MALTA ST,"(40.6539353, -73.8913617)"
    701051,BAK FOODS,150 SELIG DRIVE SW,"(33.75737085185185, -84.54008674074073)"
   1912727,WAL-MART #2727,33501 S DIXIE HWY,"(25.4576051, -80.472343)"
    333181,KROGER WAREHOUSE PROGRAM #181,1111 SOUTH ADAMS ST (PEYTON NORTH),"(None, None)"
     15955,FLAIR BEVERAGE CORP.,3857 9TH AVE,"(40.863205199999996, -73.91705938949275)"
   1913795,WAL-MART #3795 V#251893921,2100 88TH ST,"(40.8136902, -74.0132324)"
   1916020,WAL-MART DC 6020,4224 KETTERING ROAD,"(28.491874791304348, -82.2200267826087)"
   1912881,WAL-MART #2881,1471 E OSCEOLA PKWY,"(28.3437905, -81.38603629527714)"
    860256,INEXPORT LOGISTIC,4612 NW 74 AVE,"(53.51028858675654, -113.41277595379346)"
   1911203,WAL-MART #1203,4928 STATE RD 674,"(9.9739642, 8.8571928)"
   1914161,WAL-MART #4161,9191 W FLAGLER,"(25.7702426, -80.34354484515077)"
