customer,name,address,geometry
    906005,SALESMAN SAMPLES,121 FOSTER AVE,"(40.62812285, -73.97591275200861)"
     28573,DACTA BIRD RESTAURANT,1553 RALPH AVE,"(37.921078125, -121.258447375)"
     28572,A & O IMPERIAL GROCERY,550 HOWARD AVE,"(40.66889175, -73.92036927895569)"
     70578,MI ISLA MARKET LLC.,239 E MAIN ST,"(42.715132350000005, -78.8204406)"
     70465,MOE MARKET,507 DIXWELL AVE,"(41.32668357872943, -72.935039)"
     71304,MACORIS GROCERY,293 WALNUT ST,"(41.639824000000004, -80.15082040693511)"
     29146,FELIX GOURMET INC,370 MALCOM X BLVD,"(None, None)"
   1304995,CVS # 4995,700 W. IRVING PARK ROAD,"(41.97168178897866, -88.0233685875875)"
   1302901,CVS # 2901,3001 WASHINGTON ST.,"(42.3175387, -71.0968506)"
     16067,MAITA DELI GROCERY CORP,1571 SAINT JOHNS PL,"(40.670444, -73.9255591)"
    192142,WINN DIXIE #142,550969 US HWY 1,"(27.267668, -80.2864806)"
     18146,EL COCINERITO,8623 ROOSEVELT AVE,"(43.052040626315794, -79.05691887763159)"
     29884,ACME #2914,4400 S BROAD ST,"(40.181858500000004, -74.67302130933098)"
     29999,BARISTI COFFEE & TEA,617 N 13TH ST,"(37.3533406, -121.886871)"
     30298,TINNELS PATTIES USA,682 SUNRISE HWY,"(40.6549035, -73.6115192)"
     23367,SYLCA MEAT CORP,9105 31ST AVE,"(43.71875800639322, -85.85460723441662)"
     17244,DELI GROCERY,1886 PARK AVE / E 128TH ST,"(None, None)"
     17712,SALCEDO FOOD CORP.,51 E TREMONT AVE,"(40.8513659, -73.9082172)"
     20057,SUMON GROCERY,2741 PITKIN AVE,"(40.675681, -73.8708752)"
     24899,LINCOLN DELI GROCERY,522 MORRIS AVE.,"(40.8167523, -73.9228809)"
     25071,1899 STOP & GO INC.,1899 ANDREWS AVENUE SOUTH,"(40.8540308, -73.913936)"
     22867,EL MAMEY GROCERY,8016 101ST AVE,"(27.74023928780416, -80.53381150906297)"
     22518,P.S. BAKERY & RESTAURANT,917 UTICA AVE STE A,"(None, None)"
     17675,EL VALLE RESTAURANT CORP.,2448 JEROME AVE,"(40.86249457425859, -73.90117536757327)"
     24175,51ST FOOD MARKET,721 11TH AVE,"(40.7666806, -73.9942736)"
     25031,SOLANGEL GROCERY CORP.,1183 PUGSLEY AVENUE,"(40.8309808, -73.8572967)"
     15064,POLO GROCERY,290 BEACH 14TH ST,"(40.59626421428571, -73.74831236734694)"
     18350,IBB GOURMET DELI GROCERY,611 E 182ND ST,"(40.851801, -73.8892666)"
     19561,LA TRADICION DELI GROCERY,1145 BOSTON RD,"(40.8283507, -73.9038889)"
     16468,AAPKAA GAS FOOD CORP.,1255 E GUN HILL RD,"(40.87261355, -73.85037065856011)"
     90101,CAFE' CUBANO,7426 NORTH AVENUE,"(41.9089321, -87.812197)"
    790463,LA GRAN PARADA FOOD STORE,5266 BEACH BLVD,"(30.2949522, -81.6111416)"
     25932,TILDEN DELI GROCERY CORP,2913 TILDEN AVE,"(42.598761059857544, -88.59069426551012)"
     17721,CAMPUS GRILL DELI CORP,88 W 181ST ST,"(40.8568494, -73.9088734)"
     18385,NASSR SUPERETTE INC,7425 101ST AVE,"(42.430197447761195, -86.2627876119403)"
     21782,NOGOR CORP,7715 JAMAICA AVE,"(44.83738895759463, -92.924165331632)"
     22993,PICHARDO COFFEE SHOP,1301 40TH AVE,"(37.7624375, -122.4997892)"
     27730,NABILA INC,413 E FORDHAM ROAD,"(40.861415208333334, -73.89121591666667)"
     18771,CAMILA DELI,420 MAMARONECK AVE,"(40.9519547, -73.736421)"
     28211,BISBAS GOURMET DELI,24306 MERRICK BLVD,"(40.3254146, -83.0777962)"
    860231,DOLLAR LAND,2564 SIMPSON RD,"(30.644187106403113, -83.91594928103424)"
     70335,4 CORNER GROCERY STORE,2901 6TH AVE,"(32.709375300000005, -97.3401322019177)"
     71595,LA FONDA BAR RESTAURANT,269 FRANKLIN AVE,"(41.7431291, -72.6766255)"
    720284,ANTOJITOS DOMINICANOS,510 PLEASANT HILL RD NW,"(33.76666943413552, -84.00010343924517)"
     30017,KEY FOOD #2560 (C),80 3RD ST,"(40.741265999999996, -73.66711216013073)"
     71930,EL CONDOR MARKET,337 PARIS ST,"(42.3775069, -71.0315072)"
     91373,LA BARCA,1221 W 47TH STREET,"(41.808521, -87.6560687030018)"
     22553,SOULJAHS BISTRO,4809 CHURCH AVE,"(40.6519146, -73.9319991171278)"
    861008,BP GAS,4501 NW 36 ST,"(49.6238562, 20.6985541)"
     29987,JUDY GOURMET MARKET,2446 ADAM CLAYTON POWELL BLVD,"(40.8200195, -73.9405876)"
    606761,DREAM CARIBBEAN SUPER MARKET LLC,4545 S ORANGE BLOSSOM TRAIL,"(28.255902369204165, -81.46926984784655)"
    709922,SUPERMECADO SURIANA,2940 ROSEBUD RD SW,"(33.86493, -83.956943)"
     17718,FIRST ADEN GROCERY,2 E BURNSIDE AVE,"(40.853687, -73.907237)"
     20801,ALI NEWSTAND,2201 WESTCHESTER AVE,"(40.8344117, -73.8514172)"
     20158,LANDAN SUPERMARKET,5 NICKLESBURG ROAD,"(41.3506927, -74.1727052)"
     22423,BROOME GROCERY CORP,157 BROOME ST FRNT 1,"(None, None)"
     16216,ALEXANDER DELI,3422 BROADWAY,"(42.9040331, -78.7484588)"
     16431,LICKY FOUR,900 ALLERTON AVE,"(40.8653902, -73.8613421)"
     18645,GROCERY,11202 FARMERS BLVD,"(40.6615963, -73.7706521)"
     19384,KENIA A FERNANDEZ DELI,9922 NORTHERN BLVD STE 1,"(None, None)"
