customer,name,address,geometry
     70180,FOOD ZONE,355 BELMONT AVE,"(42.088416800000005, -72.56446932244188)"
     90621,PETE'S FRESH MARKET - BRIDGEVIEW,10280 S. HARLEM AVENUE,"(41.7996659, -87.8017836)"
     26539,STOP & SHOP #2586,625 ATLANTIC AVE STE A4,"(None, None)"
     30070,KEY FOOD #2156 (C),148 E BURNSIDE AVE,"(40.85227155, -73.9045053088883)"
    711318,DTR DISTRIBUTION INC,3069 MCCALL DR,"(33.89839622128351, -84.25738596766863)"
   1911373,WAL-MART #1373,4004 LAWRENCEVILLE HWY NW,"(33.8522282, -83.9034004)"
   1914444,WAL-MART #4444,10251 SHOPS LN,"(37.779961, -121.2308665)"
   1915704,WAL-MART #5704,3045 SW PORT ST LUCIE BLVD,"(27.25239105, -80.37511116350981)"
   1913617,WAL-MART #3617,600 S ALAFAYA TRAIL,"(28.5246707, -81.1990217)"
   1913621,WAL-MART #3621,1871 CHAMBLEE TUCKER RD,"(33.8885263, -84.31140844431721)"
    191494,WAL-MART #494,1025 BULLSBORO DR,"(33.395768, -84.7609522)"
     13334,COUSINS PRODUCE GARDEN #3,1943 N 6TH ST,"(44.97232614285714, -89.623274)"
     29017,KEY FOOD #2500 (C),1764 GRAND AVE,"(44.9398209, -93.17524055556757)"
     12432,KEY FOOD #2234 (C),111 W MERRICK RD,"(40.653181599999996, -73.58465874983217)"
     30198,MAKSOUD BROS FOOD CORP,1362 NOSTRAND AVE,"(40.6534317, -73.950171)"
    172895,PUBLIX #895,4849 S MILITARY TRAIL,"(26.6059752, -80.1153616)"
   1915988,WAL-MART #5988,2271 N SEMORAN BLVD,"(28.4599034, -81.3102946)"
   1912406,WAL-MART # 2406,3155 S FEDERAL HWY,"(46.4511522, -88.8871833)"
   1913474,WAL-MART #3474,6225 STATE ROAD 64 E,"(27.49230689795238, -82.48046543739648)"
     29769,WESTERN BEEF #68,425 BAY ST,"(-37.905791, 145.0062214)"
    709010,JETRO CASH & CARRY #10,566 HAMILTON AVE,"(40.667157, -73.997175)"
   1913308,WAL-MART #3308,1580 BRANAN FIELD RD,"(30.10588285, -81.83383470147758)"
     15506,JOES MARKET,201 MAIN ST,"(40.5112124, -86.8353352)"
   1911488,WAL-MART #1488,7001 CONCOURSE PWY,"(33.73258035, -84.75647999030525)"
     70040,JOZEV PRODUCTS,65 DEER PARK DR,"(42.0391258, -72.52318627985186)"
   1913774,WAL-MART #3774 V#251893921,1840 S BLACK HORSE PIKE,"(39.662379, -74.961398)"
    112289,SHOPRITE #289,590 GATEWAY DRIVE,"(40.6549049, -73.8688324)"
   1914354,WAL-MART #4354,5010 AIRPORT PULLING RD,"(26.20664483295822, -81.7682399154329)"
   1721345,PUBLIX #1345,1181 S UNIVERSITY DR,"(26.106544900000003, -80.2516014299502)"
    112191,SHOPRITE #191,865 W GRAND ST,"(40.66380345, -74.23945177921286)"
   1911720,WAL-MART #1720,1550 SCENIC HWY,"(44.32583233328715, -66.27742062804275)"
     14270,MI TIERRA,8102 NORTHERN BLVD,"(41.4674041, -75.6698896)"
     26540,STOP & SHOP #2593,961 E 174TH ST,"(40.8380017, -73.8843576)"
     26645,KEY FOOD #2559 (C),7555 31ST AVE,"(42.56512366280727, -87.84605449057713)"
   1721803,PUBLIX #1803,13001 SW 112TH ST,"(25.6648122, -80.4066932)"
   1912371,WALMART #2371 VEND#251893921,844 N COLONY RD,"(41.47753925, -72.81057247705736)"
   1721558,PUBLIX # 1558,2952 AVENTURA BLVD,"(25.9591918, -80.141396)"
   1913067,WAL-MART #3067,4975 JIMMY CARTER BLVD,"(33.894961, -84.194157)"
   1721104,PUBLIX #1104,890 S MILITARY TRAIL,"(26.664280608695652, -80.11241126086956)"
    192343,WINN-DIXE #343,14900 NW 7TH AVE,"(25.9116816, -80.2130074)"
    860857,MEC DISTRIBUTORS,11236 SATELLITE BLVD,"(28.404051990512674, -81.40162472676741)"
    740007,BRAVO SM,2413 ENTERPRISE RD,"(28.9229173, -81.2972844)"
   1915727,WAL-MART #5727,5810 RANCH LAKE BLVD,"(27.436625499999998, -82.45705226806493)"
    172432,PUBLIX #432,3251 HOLLYWOOD BLVD,"(26.0132448, -80.1749176)"
   1912637,WAL-MART#2637 V#251893921,288 LARKIN DR,"(41.31682515, -74.1484303258128)"
     26052,INTERNATIONAL FINE FARE OF BRENTWOOD,126 CLARKE ST,"(40.7987512, -73.2501001)"
    613400,METRO MEAT MARKET INC,5028 E 10TH AVE,"(25.868284140703516, -80.26309001005025)"
    608595,PRIME DISTRIBUTION USA CORP.,3597 NW 19TH ST,"(29.685585724204408, -82.34733685448408)"
    192306,WINN DIXIE #306,1515E HALLANDALE BEACH BLVD,"(25.9844754, -80.2003839)"
     15317,AMERICAS FOOD BASKET #204,840 E NEW YORK AVE,"(40.6624166, -73.9349757)"
    906000,EMPLOYEE SALES (Miami),12300 NW 32ND AVE,"(25.8865626, -80.253977)"
     30229,WESTERN BEEF #35,831 ROSEDALE AVE FRNT 1,"(None, None)"
   1912064,WAL-MART #2064 V#251893921,220 ROUTE 6 AND 209,"(46.4615595, -63.4546531)"
    701236,COMPARE FOOD NORTH SHARON,3600 N SHARON AMITY,"(35.207663, -80.75700499262882)"
    392722,LA AURORA LATIN MARKET,3733 W UNIVERSITY AVE,"(29.652003664557164, -82.37867206338069)"
    135004,PRESIDENTE #4,1510 SOUTH FEDERAL HWY,"(46.43802516776044, -88.88792217070434)"
     30130,FOOD TOWN,3471 BOSTON RD,"(40.876742, -73.8476868)"
    191174,WAL-MART #174,2700 CLEARLAKE RD,"(28.39540225, -80.75313789794161)"
   1912158,WALMART #2158 VEND#251893921,200 OTIS ST,"(42.285157999999996, -71.65651634583847)"
   1914153,WAL-MART #4153 V#251893921,2825 HIGHWAY RT 18,"(33.2317981, 131.7252619622019)"
    746879,FANCY FRUIT & PRODUCE OF EAST,10672 E COLONIAL DR,"(28.569328440311097, -81.23007793234636)"
     90464,"REY, FOODMART",1320 W. BURNHAM STREET,"(43.0109017, -87.9286386)"
    191618,WAL-MART #618,4166 JIMMY LEE SMITH PKWY,"(33.89074755, -84.75895245125716)"
   1913609,WAL-MART #3609,2940 ANVIL BLOCK RD,"(33.636550549999995, -84.29302452872379)"
     70039,ECUA AMERICAN'S FOOD LLC,4 OLD MILL PLAIN RD,"(41.39427300565242, -73.51659934786024)"
     27436,FRESH TOWN SUPERMARKET,400 JOHN F KENNEDY WAY,"(40.0299276, -74.8791051)"
    172399,PUBLIX #399,7018 W WATERS AVE,"(28.0245612, -82.560061)"
    907187,SANTIAGOS MARKET,898 HAVENDALE BLVD NW,"(28.043908552161593, -81.73683618511033)"
   1721094,PUBLIX #1094,1415 E SUNRISE BLVD,"(26.1378588, -80.1130729)"
     29409,BOGOPA #73 FOOD BAZAAR,208 E 126TH ST,"(40.804171571428576, -73.93507608163266)"
    172478,PUBLIX #478,20711 S DIXIE HWY,"(25.5740276, -80.3733314)"
    172583,PUBLIX #583,294 INDIAN TRACE RD,"(29.905719, -81.501919)"
     11157,MARKET FRESH #672,50 FULTON ST # 58,"(37.9617997, -100.8471851)"
     90336,LEWIS PRODUCE # 2 - GRAND,2727 GRAND AVENUE,"(43.0385015, -87.9486003)"
     91029,PALIMEX DISTRIBUTORS,1376 INDUSTRIAL DR,"(32.177487075821205, -94.80578515295248)"
     26476,WESTERN BEEF #62,1851 BRUCKNER BLVD,"(40.8258756122449, -73.86345291836736)"
   1911501,WAL-MART #1501,14941 N DALE MABRY,"(28.08515020603015, -82.50495775376884)"
    191580,WAL-MART #580,1050 E VAN FLEET DR,"(39.047573, -84.237892)"
     12924,BOGOPA #37,5801 JUNCTION BLVD,"(40.7307497, -73.862774)"
   1913162,WAL-MART #3162,2801 S ORANGE AVE,"(28.511712578656656, -81.37621101135696)"
     11424,KEY FOOD #1368 (C),2066 ROCKAWAY PKWY,"(40.6325037, -73.8889068)"
   1916207,WAL-MART #6207,14344 SPRING HILL DR.,"(28.4767799, -82.4858086521281)"
   1721776,PUBLIX #1776,10065 CLEARY BLVD,"(26.1347134, -80.283871)"
    709067,RESTAURANT DEPOT #67,720 STEWART AVE,"(40.7317092, -73.60667341257206)"
     11729,C-TOWN/TILGHMAN FOOD CORP.,401 W TILGHMAN ST,"(39.8404467, -75.3784973)"
     11407,KEY FOOD  #2326 (C),17111 LINDEN BLVD,"(40.6542886, -73.9121811)"
    191759,WAL-MART #759,1480 US HIGHWAY 17 N,"(33.84207177594965, -78.66188932217891)"
    192309,WINN DIXIE #309,7915 S DIXIE HWY,"(26.6467999, -80.0578406)"
     28193,SHOP FAIR,113 NEW MAIN ST,"(40.9334699, -73.8971523)"
     12740,WESTERN BEEF #45,332 NASSAU RD,"(40.6805542, -73.5898161)"
    860054,LATIN FRESH MARKET,4349 GUNN HWY,"(28.044496367346937, -82.51395959183674)"
   1911372,WAL-MART #1372,4500 FAYETTEVILLE RD.,"(35.7189503, -78.65955539130596)"
    709461,REST DEPOT #461,4220 S LEE STREET,"(47.61517522222222, -117.37803297979798)"
    709060,RESTAURANT DEPOT #60 VENDOR 0020200,140 KENWOOD ST,"(45.077638489795916, -92.95179810204081)"
     15578,THE FOOD DEPOT,75B 1ST ST,"(39.883029, -83.091696)"
     12975,STOP & SHOP #592,240 E SANDFORD BLVD,"(40.9005036, -73.8243244)"
   1912225,WALMART #2225 VEND#251893921,7 EDDY DOWLING HIGHWAY,"(None, None)"
    172050,PUBLIX #50,828 SOUTHERN BLVD,"(26.6747314, -80.061937)"
     26688,KEY FOOD #2669 (C),704 W EMMAUS AVE,"(42.4454244, -87.8284781)"
    709805,JETRO CASH & CARRY #805,5112 VIRGINIA BEACH BLVD,"(36.84578053846154, -76.15725788461538)"
     28808,KEY FOOD #2440 (C),101 NEW BRUNSWICK AVE,"(40.593264, -74.290632)"
    182010,SEDANOS #10,1690 W 68TH ST,"(25.883791, -80.317473)"
     14024,ANTONIOS RESTAURANT SUPPLIES,815 FAIRVIEW AVE STE 6,"(54.3435779, -7.631946)"
    902869,SUNILAND MEAT & FISH,981 SW 71 AVE (ROCK ISLAND),"(None, None)"
     70733,TROPIC FOOD MARKET,1007 BLUE HILL AVE,"(42.290047900000005, -71.08982695280704)"
