customer,name,address,geometry
     15908,PERALTA GROCERY,1144 CENTRAL AVE,"(34.05704915, -117.16333419974724)"
     21372,LOS NIETOS GROCERY STORE,1218 MYRTLE AVE,"(40.6974972, -73.9294796)"
   1096033,DOLLAR GENERAL #6033,18660 NW 67TH AVE,"(25.944012, -80.3088739)"
    767974,JIMMY DOLLAR DISCOUNT CORP,4589 NW 7TH ST,"(35.474265471422136, -97.60173952016625)"
    509500,CASA DEL MARISCO,8421 S ORANGE BLOSSOM TRL STE 156,"(None, None)"
     17521,QUICK STOP & SHOP DELI GROCERY,92-02 37TH AVE,"(40.7506287, -73.8748008)"
     25243,MELANY FOOD CENTER,410 ROGERS AVE,"(40.6626977, -73.9539345)"
     25821,MKM DELI,8794 PAISON BLVD,"(None, None)"
     26514,NEW DAY BEGINNING,4720 BROADWAY,"(29.46996545, -98.4630718294288)"
     26381,JASMINE GROCERY LLS,280 WALNUT AVE,"(50.6931668, -120.3524419)"
     23796,DELI GROCERY,4577 MATILDA AVE,"(40.9027673, -73.8534654)"
     20795,1208 STRATFORD AVE INC.,1208 STRATFORD AVENUE,"(40.829720300000005, -73.8753274006092)"
     18268,REATLY CORP,838 E 180TH ST,"(40.8456011, -73.8839854)"
     22335,YOHA MINI MARKET,78 THATFORD AVE,"(40.6700468, -73.9099922)"
     23115,PECAS Y ALGO MAS RESTAURANT,4420 GREENPOINT AVE,"(40.7338313, -73.9390103)"
     20447,3RD ST MINI MARKET CORP,23 AVENUE D / E 3RD ST,"(None, None)"
     17853,LUCIANO GROCERY,10115 MARTENSE AVE,"(40.893297, -74.025251)"
     28287,H & S MINI DELI,2320 AMSTERDAM AVE,"(40.844024999999995, -73.934003)"
     28346,CIBO GOURMET DELI & GROCERY,100 COOPER ST,"(40.8536144, -77.566987720953)"
     28354,FOODTOWN OF VALLEY COTTAGE,14 LAKE RIDGE PLAZA,"(None, None)"
    671311,CHEVRON GAS / BRIDGELAND REALTY LLC,8881 PEMBROKE RD,"(25.994372545454546, -80.2629119090909)"
   1303650,CVS #3650,625 W. DR. MARTIN LUTHER KING JR BLVD,"(27.981621979591836, -82.46582136734693)"
     19641,1622 AMSTERDAM GROCERY CORP,1622 AMSTERDAM AVE,"(40.8220269, -73.9501792)"
   1721674,PUBLIX #1674,8210 GLADES RD,"(26.366997, -80.175083)"
     19460,DIGNORA DELI GROCERY INC,1299 FRANKLIN AVE,"(39.96147917959877, -82.96540024797181)"
    130865,CVS #865 VENDOR ID B282,839 EAST MAIN ST,"(32.5314739, -96.8843014)"
     70742,EXPRESS STOP MARKET,124 HARVARD ST,"(41.65567575, -70.94346990607828)"
     91235,SAMI BOY GROCER,3753 W DIVISION ST APT FRNT,"(None, None)"
     71837,C & M FOOD,181 STILLWATER AVE,"(40.39488529303429, -81.3253341073645)"
   4103224,JEWEL OSCO # 3224,6430 W IRVING PARK RD,"(41.9539704, -87.7874683)"
     91330,M&TH GROUP,3743 W CHICAGO AVE,"(41.8952592, -87.7204843757486)"
   4103374,JEWEL OSCO # 3374,465 IL-47 N,"(42.0440456, -88.4642132)"
     72035,SUPREME MART,1295 WORCESTER ST,"(36.72597759373144, -91.86508628456613)"
     91460,SUPERMARKET MADISON,3824 W. MADISON,"(35.7980104, -79.0914454)"
     30266,COFFEE SHOP PONCHE SUIZO,122 NORTH AVE,"(43.2308825, -77.7160465)"
     30271,ECG DELI,1349 WEBSTER AVE,"(32.471557673469384, -84.97854981632653)"
    902141,VIP FOOD STORE,3081 NW 64TH AVE,"(26.164330004055568, -80.23537373238257)"
     20887,CASTILLO GROCERY,229 E KINGSBRIDGE RD FRNT 5,"(None, None)"
     23608,LUCA'S DELI RESTAURANT,248 MAIN ST,"(39.1396991, -84.71532266138067)"
     21503,MOON DELI CORP,2129 ATLANTIC AVE,"(40.6763919, -73.9085067)"
     22114,AMOCO,1346 BEACH CHANNEL DR,"(40.6070135, -73.75438625)"
     21374,D & D GROCERY,1121 EVERGREEN AVE,"(37.498105249999995, -77.47351238466007)"
     21674,KOSHER PALACE,2818 AVENUE U,"(40.6001028, -73.9431195)"
     17168,COLPAN BAKERY,6 JAMES ST,"(-33.8666595, 151.0448913)"
     18341,204 FAMOUS DELI & GROCERY,350 E 204TH ST,"(40.8719407, -73.8777906)"
     18649,GROCERY,21021 HOLLIS AVE,"(39.928146, -75.027673)"
     22457,LUCKY ONE DELI,583 SUTTER AVE,"(40.6692154, -73.89742659761637)"
     17705,POPULAR MARKET CORP FRNT 2,54 E 181ST ST,"(40.8551907, -73.9046062)"
