customer,name,address,geometry
    860946,LATIN DOLLAR DISCOUNT,6821 W HILLSBOROUGH AVE,"(28.0179763, -82.6198625)"
    901825,ORGULLO COLOMBIANO,11270 SW 137TH AVE,"(25.6624389, -80.4169926)"
    959208,BAMBOO REST,9342 SW 56 STREET,"(29.2468294, -82.945804)"
    987625,JAM ROCK CUISINE,12560 SW 88 ST,"(33.081642, -95.075367)"
     23874,EL CARETERO,2116 BERGENLINE AVE,"(40.76579822448979, -74.03351485714286)"
     24730,WALTON FOOD CORP.,1973 WALTON AVE,"(40.50100597405765, -78.39568042471795)"
     19864,LIRIANO,1017 HEGEMAN AVE,"(40.6670086, -73.8755264)"
     23855,LOS RECUERDOS REST,14635 34TH AVE,"(43.88859852849741, -93.16581741968912)"
     12153,GOLDEN KRUST BAKERY & GRILL,872 UTICA AVE,"(40.65192315, -73.93070826760913)"
     21819,JAMAICA GOURMET DELI,8902 JAMAICA AVE,"(40.7024505, -73.8164602)"
     22557,ORIGINAL BRUCEE'S PATTIES INC,9509 CHURCH AVE,"(40.6554894, -73.9162562875801)"
     15796,SAN MIGUEL GROCERY,774 BURKE AVE,"(40.8712339, -73.8640769)"
     18162,AFRA TRADING INC,8954 ELMHURST AVE,"(42.35265511111111, -83.47644733333334)"
     16036,LINDEN KING DELI,22321 LINDEN BLVD,"(40.6542886, -73.9121811)"
     18587,AMBM DELI + GROCERY,565 LENOX RD,"(40.6548988, -73.9396115)"
     16815,CLAREMONT PARKWAY DELI-GROCERY,1570 WEBSTER AVE,"(40.8399921, -73.9050435)"
     25979,KEY FOOD #1732 (C),10202 101ST AVE,"(33.5767675, -112.277978)"
    962190,PURCHASE ORDER CO,3724 NW 72ND ST,"(25.8392836, -80.2586755)"
     18220,NON BEI GROCERY,8040 BAXTER AVE,"(-33.9566786, 18.4687941)"
     19929,653 QUICK MART,653 STANLEY AVE,"(40.65932515, -73.8845708301528)"
     22345,BRIDGE DELI GROCERY,1861 PITKIN AVE,"(40.6708015, -73.9040874)"
     90791,GO LO FUEL MARKET (S),8601-5 S HALSTED,"(-29.6525213, 30.4231744)"
     19158,CC 1853 FOOD CORP,1853 FLATBUSH AVE,"(40.62477215, -73.93874644074555)"
   1303296,CVS Y MAS #3296,4710 PALM BEACH BLVD,"(26.6757015, -81.813935)"
    711147,INTERFOOD 3 HERMANOS,526 VILLAGE CT,"(35.7077008, -78.6182016)"
     28497,HABP GLOBAL,48 COLONIAL DR,"(-36.6138159, 174.6716339)"
    711267,GODWIN'S COUNTRY MEATS,501 GODWIN TOWN ROAD,"(None, None)"
